Original File name/description,File name,,Used images (as of 2/26),Unused images (as of 2/26)
0051-1800-1819 REGENCY MEN HAIR & Hat. #4 malebeaityinart.tumble.com,0051_image.jpg,,0073_image.jpg,0104_image.jpg
0052-1800-1819 REGENCY MEN HAIR 3 NATIONAL GALLERIES.ORG,0052_image.JPG,,0078_image.jpg,0105_image.jpg
0053-1800-1819 REGENCY MEN HAIR 5 hair.jpg,0053_image.jpg,,0083_image.jpg,0106_image.jpg
0054-1800-1819 REGENCY MEN HAIR 7 topofart.com,0054_image.jpg,,0084_image.jpg,0108_image.jpg
0055-1800-1819 REGENCY MEN HAIR 7 wikimediafoundation.com,0055_image.jpg,,0094_image.jpg,0109_image.jpg
0056-1800-1819 Regency men hair Hart Davis Jr. + cravat.jpg,0056_image.jpg,,0094_image.jpg,0112_image.jpg
0057-1800-1819 Working class eating from a cart.jpg,0057_image.jpg,,0095_image.jpg,0113_image.jpg
0058-1800-1819 Working class man and woman in poor clothing.jpg,0058_image.jpg,,0107_image.jpg,0115_image.jpg
0059-1800-1819 1 3 Regency MEN HAIRSTYLES.jpg,0059_image.jpg,,0110_image.jpg,0117_image.jpg
"0060-1800-1819 a traveling salesman has watches to sell,& maid.jpg",0060_image.jpg,,0111_image.jpg,0133_image.jpg
0061-1800-1819 common folk selling geese nutmeg grater-Colorized.jpg,0061_image.jpg,,0114_image.jpg,0135_image.jpg
0062-1800-1819 Gardiner with watering can and rake-Colorized.jpg,0062_image.jpg,,0116_image.jpg,0136_image.jpg
0063-1800-1819 Middle-class woman and child.jpg,0063_image.jpg,,0118_image.jpg,0138_image.jpg
0064-1800-1819 Regency couple decade page.jpg,0064_image.jpg,,0119_image.jpg,0142_image.jpg
"0065-1800-1819 Regency dance, authentic time illustration. Shorter skirts for dancing, knee britches and slippers on men.jpg",0065_image.jpg,,0120_image.jpg,0143_image.jpg
"0066-1800-1819 Regency dress, under layers.jpg",0066_image.jpg,,0121_image.jpg,0149_image.jpg
0067-1800-1819 Regency m w 33.jpg,0067_image.jpg,,0122_image.jpg,0152_image.jpg
"0068-1800-1819 Regency man, woman, child, authentic illustration of hair dress trousers.jpg",0068_image.jpg,,0123_image.jpg,0161_image.jpg
0069-1800-1819 REGENCY MEN HAIR 4.jpg,0069_image.jpg,,0124_image.jpg,0171_image.jpg
0070-1800-1819 REGENCY MEN HAIRstyles #3.jpg,0070_image.jpg,,0125_image.jpg,0173_image.jpg
"0071-1800-1819 Regency men, women and child in day clothing.jpg",0071_image.jpg,,0126_image.jpg,0174_image.jpg
"0072-1800-1819, common folk, serving maid at inn.jpg",0072_image.jpg,,0126_image.jpg,0176_image.jpg
0073-1800-1820 patterns for Regency dress .jpg,0073_image.jpg,,0127_image.jpg,0187_image.jpg
0074-1800-1820 Regency nobility formal dress 12.jpg,0074_image.jpg,,0128_image.jpg,0188_image.jpg
"0075-1800-1820 upper class dress & hairstyle, note piled braids above crown and V part.jpg",0075_image.jpg,,0129_image.jpg,0192_image.jpg
0076-1800-1820 Authentic daydress in historic home.jpg,0076_image.jpg,,0130_image.jpg,0200_image.jpg
0077-1800-1820 Authentic evening gown in a museum.jpg,0077_image.jpg,,0131_image.jpg,0209_image.jpg
0078-1800-1820 Authentic evening gowns from museums.jpg,0078_image.jpg,,0132_image.jpg,0210_image.jpg
0079-1800-1820 Authentic museum day dress.jpg,0079_image.jpg,,0134_image.jpg,0211_image.jpg
0080-1800-1820 Authentic regency dress in historic house. rose chiffon over ecru lace.jpg,0080_image.jpg,,0137_image.jpg,0212_image.jpg
0081-1800-1820 Authentic regency dress in museum .jpg,0081_image.jpg,,0139_image.jpg,0213_image.jpg
0082-1800-1820 authentic Regency embroidered evening gown in museum w 7.jpg,0082_image.jpg,,0140_image.jpg,0217_image.jpg
"0083-1800-1820 better day dresses, museum and film.jpg",0083_image.jpg,,0141_image.jpg,0220_image.jpg
"0084-1800-1820 Day dresses and hair, dress.jpg",0084_image.jpg,,0144_image.jpg,0221_image.jpg
"0085-1800-1820 Daydress for film. For modesty or cold, a scarf was often tucked into the low neckline.jpg",0085_image.jpg,,0145_image.jpg,0224_image.jpg
0086-1800-1820 Evening dresses for older women.jpg,0086_image.jpg,,0145_image.jpg,0226_image.jpg
0087-1800-1820 hair dress.jpg,0087_image.jpg,,0146_image.jpg,0227_image.jpg
0088-1800-1820 Historic Regency ballgown st Smithsonian. Sheer organdy over silk. Cartridge pleated ribbons at hem.jpg,0088_image.jpg,,0147_image.jpg,0228_image.jpg
0089-1800-1820 Illustration of dress for film Pride and Prejudice.jpg,0089_image.jpg,,0148_image.jpg,0230_image.jpg
"0090-1800-1820 Middle class best dress, turban with plume.jpg",0090_image.jpg,,0150_image.jpg,0231_image.jpg
0091-1800-1820 portrait of 2 girls w hair.jpg,0091_image.jpg,,0151_image.jpg,0240_image.jpg
0092-1800-1820 Regency 5.jpg,0092_image.jpg,,0153_image.jpg,0249_image.jpg
0093-1800-1820 Regency aristocratic gown embroidered in gold threads.jpg,0093_image.jpg,,0154_image.jpg,0256_image.jpg
0094-1800-1820 Regency baby bonnets.jpg,0094_image.jpg,,0155_image.jpg,0258_image.jpg
0095-1800-1820 Regency bonnets 1817.jpg,0095_image.jpg,,0156_image.jpg,0259_image.jpg
0096-1800-1820 Regency collection 1.jpg,0096_image.jpg,,0157_image.jpg,0263_image.jpg
0097-1800-1820 Regency collection 2.jpg,0097_image.jpg,,0158_image.jpg,0277_image.jpg
0098-1800-1820 Regency collection 3.jpg,0098_image.jpg,,0159_image.jpg,0279_image.jpg
0099-1800-1820 Regency collection 4.jpg,0099_image.jpg,,0160_image.jpg,0284_image.jpg
0100-1800-1820 Regency reproduction evening gowns .jpg,0100_image.jpg,,0162_image.jpg,0286_image.jpg
0101-1800-1820 Regency reproduction with hat and spencer 10.jpg,0101_image.jpg,,0163_image.jpg,0289_image.jpg
0102-1800-1820 Regency servants collection 1.jpg,0102_image.jpg,,0164_image.jpg,0296_image.jpg
0103-1800-1820 Regency servants collection 2.jpg,0103_image.jpg,,0165_image.jpg,0297_image.jpg
0104-1800-1820 Regency w 0 hair dress.jpg,0104_image.jpg,,0166_image.jpg,0301_image.jpg
0105-1800-1820 Regency w 51 hair dress.jpg,0105_image.jpg,,0167_image.jpg,0305_image.jpg
0106-1800-1820 Regency w 52 hair dress.jpg,0106_image.jpg,,0169_image.jpg,0311_image.jpg
0107-1800-1820 School girls in day dresses.jpg,0107_image.jpg,,0170_image.jpg,0322_image.jpg
0108-1800-1820 simple dress & hair.jpg,0108_image.jpg,,0172_image.jpg,0334_image.jpg
0109-1800-1820 Tousled Regency hair.jpg,0109_image.jpg,,0175_image.jpg,0336_image.jpg
0110-1800-1820 Two Evening dresses for mature women and embroidered gown.jpg,0110_image.jpg,,0177_image.jpg,0365_image.jpg
0111-1800-1820 Velvet gowns of the very wealthy.jpg,0111_image.jpg,,0178_image.jpg,0367_image.jpg
0112-1800-1820 w 6.jpg,0112_image.jpg,,0179_image.jpg,0381_image.jpg
"0113-1800-1820 Yes, you can buy patterns for Regency .jpg",0113_image.jpg,,0180_image.jpg,0406_image.jpg
0114-1800-1820 3 Authentic Regency or Empire dresses in Museums.jpg,0114_image.jpg,,0181_image.jpg,0425_image.jpg
0115-1800-1820 Authentic Regency dress in museum.jpg,0115_image.jpg,,0182_image.jpg,0472_image.jpg
0116-1800-1820 Formal Gowns for aristocracy and nobility.jpg,0116_image.jpg,,0183_image.jpg,0476_image.jpg
